Section,W,A,d,bf,tw,tf,kdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw
W410X132,132.0,16900,427,264,13.3,22.2,32.5,541.0,2870.0,2540.0,179.0,67.8,788.0,515.0,63.2,2270,2740
W410X114,114.0,14600,419,262,11.6,19.3,29.5,462.0,2460.0,2200.0,178.0,57.4,674.0,441.0,62.7,1490,2310
W410X100,100.0,12600,414,259,10,16.9,27.2,397.0,2130.0,1920.0,177.0,49.5,582.0,380.0,62.5,995,1960
W410X85,85.0,10800,417,181,10.9,18.2,28.4,316.0,1720.0,1510.0,171.0,17.9,310.0,198.0,40.6,924,714
W410X75,75.0,9480,414,180,9.65,16,26.2,274.0,1510.0,1330.0,170.0,15.5,267.0,172.0,40.4,633,610
W410X67,67.0,8580,409,179,8.76,14.4,24.6,244.0,1350.0,1190.0,169.0,13.7,238.0,153.0,39.9,462,534
W410X60,60.0,7610,406,178,7.75,12.8,23,216.0,1200.0,1060.0,168.0,12.0,208.0,135.0,39.9,330,465
W410X53,53.0,6840,404,178,7.49,10.9,21.1,186.0,1050.0,926.0,165.0,10.2,177.0,115.0,38.6,227,392
W410X46.1,46.1,5890,404,140,6.99,11.2,21.4,156.0,885.0,773.0,163.0,5.16,115.0,73.6,29.7,192,198
W410X38.8,38.8,4950,399,140,6.35,8.76,19,125.0,724.0,629.0,159.0,3.99,89.8,57.2,28.4,109,152
W360X1299,1300.0,166000,599,478,100,140,155,7530.0,33300.0,25100.0,213.0,2570.0,16700.0,10800.0,124.0,945000,136000
W360X1202,1200.0,154000,579,472,95,130,145,6620.0,30000.0,22800.0,208.0,2310.0,15200.0,9780.0,123.0,766000,117000
W360X1086,1090.0,139000,569,455,78,125,140,5950.0,27200.0,21000.0,208.0,1960.0,13400.0,8640.0,119.0,604000,97200
W360X990,990.0,126000,549,450,71.9,115,130,5160.0,24300.0,18800.0,203.0,1740.0,12000.0,7730.0,117.0,466000,81900
W360X900,900.0,115000,531,442,66,106,121,4500.0,21600.0,17000.0,198.0,1530.0,10700.0,6930.0,116.0,362000,69300
W360X818,818.0,105000,513,437,60.5,97,112,3930.0,19300.0,15300.0,194.0,1350.0,9550.0,6190.0,114.0,278000,58800
W360X744,744.0,94800,498,432,55.6,88.9,104,3420.0,17200.0,13700.0,190.0,1200.0,8550.0,5560.0,113.0,214000,50200
W360X677,677.0,86500,483,427,51.3,81.5,96.8,2990.0,15300.0,12400.0,186.0,1070.0,7670.0,4980.0,111.0,164000,43000
W360X634,634.0,80600,475,424,47.8,77.2,92.2,2750.0,14200.0,11600.0,184.0,982.0,7110.0,4640.0,110.0,138000,38700
W360X592,592.0,75500,465,422,45,72.4,87.4,2500.0,13100.0,10700.0,182.0,903.0,6590.0,4290.0,109.0,114000,34600
W360X551,551.0,70300,455,419,42.2,67.6,82.8,2260.0,12100.0,9950.0,180.0,828.0,6060.0,3950.0,108.0,92400,31200
W360X509,509.0,65200,445,417,39.1,62.7,78,2040.0,11000.0,9140.0,177.0,753.0,5540.0,3620.0,108.0,74100,27700
W360X463,463.0,59000,434,411,35.8,57.4,72.6,1800.0,9880.0,8290.0,175.0,670.0,4980.0,3260.0,107.0,56600,23900
W360X421,421.0,53700,424,409,32.8,52.6,67.8,1600.0,8880.0,7520.0,172.0,599.0,4490.0,2930.0,106.0,43300,20900
W360X382,382.0,48800,417,406,30,48,63.2,1420.0,7980.0,6800.0,170.0,537.0,4030.0,2640.0,105.0,32900,18200
W360X347,347.0,44200,406,404,27.2,43.7,58.9,1250.0,7140.0,6150.0,168.0,479.0,3620.0,2380.0,104.0,24800,15800
W360X314,314.0,40000,399,401,24.9,39.6,54.9,1110.0,6390.0,5540.0,166.0,429.0,3240.0,2130.0,103.0,18600,13800
W360X287,287.0,36600,394,399,22.6,36.6,51.8,999.0,5820.0,5080.0,165.0,388.0,2950.0,1950.0,103.0,14500,12300
W360X262,262.0,33400,386,399,21.1,33.3,48.5,891.0,5240.0,4600.0,163.0,349.0,2670.0,1750.0,102.0,11000,10900
W360X237,237.0,30100,381,396,18.9,30.2,45.5,791.0,4700.0,4160.0,162.0,311.0,2390.0,1580.0,102.0,8200,9560
W360X216,216.0,27500,376,394,17.3,27.7,42.9,712.0,4260.0,3800.0,161.0,282.0,2180.0,1430.0,101.0,6330,8510
W360X196,196.0,25000,373,373,16.4,26.2,41.4,637.0,3830.0,3420.0,160.0,228.0,1850.0,1220.0,95.5,5120,6850
W360X179,179.0,22800,368,373,15,23.9,39.1,574.0,3470.0,3110.0,158.0,206.0,1670.0,1110.0,95.0,3900,6100
W360X162,162.0,20600,363,371,13.3,21.8,37.1,516.0,3150.0,2830.0,158.0,186.0,1520.0,1000.0,94.7,2960,5420
W360X147,147.0,18800,361,371,12.3,19.8,35.1,462.0,2830.0,2570.0,157.0,167.0,1370.0,905.0,94.2,2240,4830
W360X134,134.0,17100,356,368,11.2,18,33.3,416.0,2570.0,2340.0,156.0,151.0,1240.0,818.0,94.0,1690,4300
W360X122,122.0,15500,363,257,13,21.7,36.8,367.0,2280.0,2020.0,154.0,61.6,734.0,480.0,63.0,2110,1800
W360X110,110.0,14100,361,257,11.4,19.9,35.1,331.0,2060.0,1840.0,153.0,55.8,664.0,436.0,63.0,1610,1610
W360X101,101.0,12900,356,254,10.5,18.3,33.3,301.0,1880.0,1690.0,153.0,50.4,605.0,397.0,62.5,1250,1440
W360X91,91.0,11500,353,254,9.53,16.4,31.5,266.0,1670.0,1510.0,152.0,44.5,537.0,352.0,62.2,912,1260
W360X79,79.0,10100,353,205,9.4,16.8,31.8,225.0,1430.0,1270.0,150.0,24.0,361.0,234.0,48.8,807,682
W360X72,72.0,9100,351,204,8.64,15.1,30.2,201.0,1280.0,1150.0,149.0,21.4,321.0,210.0,48.5,604,602
W360X64,64.0,8130,348,203,7.75,13.5,28.4,178.0,1140.0,1030.0,148.0,18.8,283.0,185.0,48.0,437,524
W360X57.8,57.8,7230,358,172,7.87,13.1,23.2,160.0,1010.0,895.0,149.0,11.1,198.0,129.0,39.4,332,330
W360X51,51.0,6450,356,171,7.24,11.6,21.7,142.0,895.0,796.0,148.0,9.7,174.0,113.0,38.9,237,287
W360X44,44.0,5710,351,171,6.86,9.78,19.9,121.0,775.0,688.0,146.0,8.16,147.0,95.4,37.8,158,238
W360X39,39.0,4960,353,128,6.48,10.7,20.8,102.0,659.0,578.0,144.0,3.71,90.8,58.2,27.4,149,109
W360X32.9,32.9,4190,348,127,5.84,8.51,18.7,82.8,544.0,475.0,141.0,2.91,71.9,45.9,26.4,86.6,84.3
W310X500,500.0,63800,427,340,45.2,75.2,90.2,1690.0,9880.0,7910.0,163.0,495.0,4490.0,2900.0,88.1,101000,15300
W310X454,454.0,57700,414,335,41.4,68.8,83.8,1480.0,8800.0,7130.0,160.0,437.0,4000.0,2610.0,86.9,77000,13100
W310X415,415.0,52800,404,333,38.9,62.7,78,1290.0,7880.0,6440.0,156.0,390.0,3610.0,2340.0,85.9,59500,11300
W310X375,375.0,47800,391,330,35.6,57.2,72.4,1130.0,7010.0,5780.0,154.0,345.0,3210.0,2080.0,84.8,45000,9610
W310X342,342.0,43700,384,328,32.8,52.6,67.8,1010.0,6330.0,5260.0,152.0,309.0,2900.0,1880.0,84.1,34900,8380
W310X313,313.0,39900,373,325,30,48.3,63.5,891.0,5700.0,4790.0,150.0,276.0,2610.0,1700.0,83.3,26900,7300
W310X283,283.0,36100,366,323,26.9,44.2,59.2,787.0,5100.0,4310.0,148.0,245.0,2340.0,1520.0,82.6,20300,6340
W310X253,253.0,32300,356,320,24.4,39.6,54.9,687.0,4510.0,3850.0,146.0,215.0,2060.0,1350.0,81.8,14800,5400
W310X226,226.0,28800,348,318,22.1,35.6,50.8,595.0,3980.0,3420.0,144.0,189.0,1820.0,1190.0,81.0,10700,4620
W310X202,202.0,25700,340,315,20.1,31.8,47,516.0,3510.0,3050.0,142.0,166.0,1610.0,1050.0,80.3,7700,3950
W310X179,179.0,22700,333,312,18,28.2,43.2,445.0,3050.0,2670.0,140.0,144.0,1400.0,918.0,79.5,5370,3330
W310X158,158.0,20100,328,310,15.5,25.1,40.4,388.0,2690.0,2380.0,139.0,125.0,1230.0,808.0,79.0,3800,2870
W310X143,143.0,18200,323,310,14,22.9,38.1,347.0,2410.0,2150.0,138.0,112.0,1110.0,728.0,78.5,2850,2530
W310X129,129.0,16500,318,307,13.1,20.6,35.8,308.0,2160.0,1930.0,137.0,100.0,990.0,651.0,78.0,2120,2220
W310X117,117.0,15000,315,307,11.9,18.7,33.8,276.0,1950.0,1750.0,136.0,89.9,890.0,587.0,77.5,1600,1970
W310X107,107.0,13600,312,305,10.9,17,32.3,248.0,1770.0,1600.0,135.0,81.2,806.0,531.0,77.2,1220,1760
W310X97,97.0,12300,307,305,9.91,15.4,30.5,222.0,1590.0,1440.0,134.0,72.4,723.0,477.0,76.7,907,1550
W310X86,86.0,11000,310,254,9.14,16.3,31.5,198.0,1420.0,1280.0,134.0,44.5,533.0,351.0,63.8,874,959
W310X79,79.0,10100,307,254,8.76,14.6,30,177.0,1280.0,1160.0,133.0,39.9,477.0,315.0,63.0,658,849
W310X74,74.0,9420,310,205,9.4,16.3,29,163.0,1180.0,1050.0,132.0,23.4,349.0,228.0,49.8,712,505
W310X67,67.0,8450,307,204,8.51,14.6,27.4,145.0,1050.0,946.0,131.0,20.8,311.0,203.0,49.5,524,443
W310X60,60.0,7550,302,203,7.49,13.1,25.9,128.0,934.0,844.0,130.0,18.4,275.0,180.0,49.3,377,387
